FineTuningJobEvent(id='ftevent-gd13pJiHCPHLaOfqpoioDDnh', created_at=1740464192, level='info', message='Step 22/96: training loss=0.08', object='fine_tuning.job.event', data={'step': 22, 'train_loss': 0.08123066276311874, 'total_steps': 96, 'train_mean_token_accuracy': 0.9878787994384766}, type='metrics')

FineTuningJobEvent(id='ftevent-Ns665Auf0TPDHi0aop8jWarG', created_at=1740464186, level='info', message='Step 21/96: training loss=0.05', object='fine_tuning.job.event', data={'step': 21, 'train_loss': 0.04868844151496887, 'total_steps': 96, 'train_mean_token_accuracy': 0.9871414303779602}, type='metrics')

FineTuningJobEvent(id='ftevent-7n86JpTAL5D3BuwK03a2r59r', created_at=1740464185, level='info', message='Step 20/96: training loss=0.01', object='fine_tuning.job.event', data={'step': 20, 'train_loss': 0.011114482767879963, 'total_steps': 96, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-S82R8bzrlmYY4GxjTcRwWZ0x', created_at=1740464185, level='info', message='Step 19/96: training loss=0.05', object='fine_tuning.job.event', data={'step': 19, 'train_loss': 0.046275828033685684, 'total_steps': 96, 'train_mean_token_accuracy': 0.9866071343421936}, type='metrics')

FineTuningJobEvent(id='ftevent-wcVHI6wWc7ehDpXuNYghWxiR', created_at=1740464180, level='info', message='Step 18/96: training loss=0.00', object='fine_tuning.job.event', data={'step': 18, 'train_loss': 0.004364700056612492, 'total_steps': 96, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-iJEHU6bQlJO6w7ZWrDLyEO8x', created_at=1740464179, level='info', message='Step 17/96: training loss=0.00', object='fine_tuning.job.event', data={'step': 17, 'train_loss': 0.000464974669739604, 'total_steps': 96, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-9ly1ffVsCcHwm66jWR9PuA08', created_at=1740464160, level='info', message='Step 16/96: training loss=0.29', object='fine_tuning.job.event', data={'step': 16, 'train_loss': 0.2857697308063507, 'total_steps': 96, 'train_mean_token_accuracy': 0.9276018142700195}, type='metrics')

FineTuningJobEvent(id='ftevent-QPQiMZDlpjZcR8SbYadBr8OQ', created_at=1740464155, level='info', message='Step 15/96: training loss=0.15', object='fine_tuning.job.event', data={'step': 15, 'train_loss': 0.15246449410915375, 'total_steps': 96, 'train_mean_token_accuracy': 0.9609120488166809}, type='metrics')

FineTuningJobEvent(id='ftevent-alRgU0gaBEQSMFq57eISNNYK', created_at=1740464155, level='info', message='Step 14/96: training loss=0.00', object='fine_tuning.job.event', data={'step': 14, 'train_loss': 0.0003903951437678188, 'total_steps': 96, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-ssugHUVOeXeVjrSeEVeykIyf', created_at=1740464155, level='info', message='Step 13/96: training loss=0.06', object='fine_tuning.job.event', data={'step': 13, 'train_loss': 0.064124062

FineTuningJobEvent(id='ftevent-qmguOm5H4wl9tuRloWCO7EDc', created_at=1740464150, level='info', message='Step 12/96: training loss=0.08', object='fine_tuning.job.event', data={'step': 12, 'train_loss': 0.08146820217370987, 'total_steps': 96, 'train_mean_token_accuracy': 0.9772502183914185}, type='metrics')

FineTuningJobEvent(id='ftevent-IZ6hNgojpSY13lKpt9xEUItQ', created_at=1740464149, level='info', message='Step 11/96: training loss=0.13', object='fine_tuning.job.event', data={'step': 11, 'train_loss': 0.12575581669807434, 'total_steps': 96, 'train_mean_token_accuracy': 0.9589552283287048}, type='metrics')

FineTuningJobEvent(id='ftevent-omoNn78OfbPD0fn1Sf9PLimW', created_at=1740464143, level='info', message='Step 10/96: training loss=0.00', object='fine_tuning.job.event', data={'step': 10, 'train_loss': 0.0010854905704036355, 'total_steps': 96, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-bW7JcGclkKiytdp3HIrTtCdT', created_at=1740464142, level='info', message='Step 9/96: training loss=0.03', object='fine_tuning.job.event', data={'step': 9, 'train_loss': 0.025373734533786774, 'total_steps': 96, 'train_mean_token_accuracy': 0.9885931611061096}, type='metrics')

FineTuningJobEvent(id='ftevent-Ea9EAPqCsgeMnoPs8UzKWx8b', created_at=1740464137, level='info', message='Step 8/96: training loss=0.04', object='fine_tuning.job.event', data={'step': 8, 'train_loss': 0.04427750036120415, 'total_steps': 96, 'train_mean_token_accuracy': 0.971563994884491}, type='metrics')

FineTuningJobEvent(id='ftevent-ShWm5uPQ1JwMV2XNMIjG4sJX', created_at=1740464137, level='info', message='Step 7/96: training loss=0.05', object='fine_tuning.job.event', data={'step': 7, 'train_loss': 0.05443606525659561, 'total_steps': 96, 'train_mean_token_accuracy': 0.9850000143051147}, type='metrics')

