FineTuningJobEvent(id='ftevent-5ysW3XfZo3RsaUZHNSSDTk7q', created_at=1738494125, level='info', message='The job has successfully completed', object='fine_tuning.job.event', data={}, type='message') 
FineTuningJobEvent(id='ftevent-8n91n25omxKhd7MP5gMpIr1p', created_at=1738493972, level='info', message='Step 219/300: training loss=0.00', object='fine_tuning.job.event', data={'step': 219, 'train_loss': 0.0003862727899104357, 'total_steps': 300, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-YqJedPtTILTr4xHycEySEx0z', created_at=1738493972, level='info', message='Step 218/300: training loss=0.06', object='fine_tuning.job.event', data={'step': 218, 'train_loss': 0.06131412461400032, 'total_steps': 300, 'train_mean_token_accuracy': 0.9882352948188782}, type='metrics')

FineTuningJobEvent(id='ftevent-sXQW1yFryXNOMoDQK7NFitFy', created_at=1738493970, level='info', message='Step 217/300: training loss=0.00', object='fine_tuning.job.event', data={'step': 217, 'train_loss': 4.233419895172119e-05, 'total_steps': 300, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-ldHNTQ8b91FZyjbp6vuhyoKe', created_at=1738493968, level='info', message='Step 216/300: training loss=0.01', object='fine_tuning.job.event', data={'step': 216, 'train_loss': 0.005199488252401352, 'total_steps': 300, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-5nn0AfmifqxovE9OxDMjj6aP', created_at=1738493966, level='info', message='Step 215/300: training loss=0.00', object='fine_tuning.job.event', data={'step': 215, 'train_loss': 0.000534687249455601, 'total_steps': 300, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-kkhPZ1RPuEJqeG8v7zm6Phn2', created_at=1738493966, level='info', message='Step 214/300: training loss=0.00', object='fine_tuning.job.event', data={'step': 214, 'train_loss': 0.0002476374211255461, 'total_steps': 300, 'train_mean_token_accuracy': 1.0}, type='metrics')

